                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5236,                 2.8214,                   1.21,                0.23137,                 0.6698,                0.21133,                0.14228,                 1.0208,                 5.5237,                 1.0088,                0.00028,                0.00028,                0.00028
                      2,                 1.0583,                0.81405,                0.98548,                0.89122,                 0.8046,                0.89338,                0.61763,                 1.0264,                0.80327,                 1.0352,             0.00056086,             0.00056086,             0.00056086
                      3,                 1.0056,                0.64915,                0.97676,                0.74932,                0.35423,                0.41189,                0.29489,                 1.2814,                 2.4752,                 1.1936,             0.00082192,             0.00082192,             0.00082192
                      4,                 1.0029,                0.66765,                0.98121,                0.84763,                0.59979,                0.69873,                0.49491,                 1.0538,                 1.0316,                 1.0656,              0.0010632,              0.0010632,              0.0010632
                      5,                 1.0369,                0.63965,                0.97016,                0.28435,                0.66667,                 0.2735,                0.20122,                0.87617,                 2.6084,                0.98272,              0.0012846,              0.0012846,              0.0012846
                      6,                 1.0201,                0.59837,                0.95702,                0.25347,                0.50157,                0.20152,                0.14603,                0.99632,                 2.3085,                  1.026,              0.0014863,              0.0014863,              0.0014863
                      7,                0.97787,                0.59713,                0.95789,                0.04948,                 0.4744,                0.03352,                 0.0243,                 1.1083,                    2.9,                  1.157,               0.001604,               0.001604,               0.001604
                      8,                0.95945,                0.58514,                0.95174,                0.73057,                0.27586,                0.31106,                0.21385,                 1.3962,                 1.9762,                 1.2466,               0.001604,               0.001604,               0.001604
                      9,                 0.9555,                0.56786,                0.94651,                0.88324,                0.86416,                0.92946,                0.68246,                0.89402,                0.71612,                0.99045,               0.001538,               0.001538,               0.001538
                     10,                 1.0268,                0.56581,                0.97127,                0.92136,                0.87461,                 0.9451,                0.65607,                 1.0187,                0.67726,                 1.0308,               0.001472,               0.001472,               0.001472
                     11,                0.95591,                0.52597,                0.95373,                0.90063,                0.85475,                0.93269,                0.65985,                 0.9297,                0.56584,                0.99738,               0.001406,               0.001406,               0.001406
                     12,                0.96118,                0.54733,                0.95307,                0.85713,                0.87356,                0.93056,                0.69094,                0.87476,                0.54839,                0.99329,                0.00134,                0.00134,                0.00134
                     13,                0.90352,                0.51799,                0.94932,                0.89967,                  0.862,                0.94265,                0.71706,                0.84876,                0.50942,                0.96617,               0.001274,               0.001274,               0.001274
                     14,                0.89628,                0.51881,                 0.9316,                0.52958,                0.80343,                0.49131,                0.35114,                0.83601,                 1.7281,                0.96276,               0.001208,               0.001208,               0.001208
                     15,                 0.8833,                0.49307,                0.91829,                0.92413,                0.84326,                 0.9341,                0.71102,                0.82837,                 0.5022,                0.95885,               0.001142,               0.001142,               0.001142
                     16,                0.86763,                0.49749,                 0.9188,                0.91946,                0.85895,                0.94327,                0.73026,                 0.8194,                0.47099,                0.95575,               0.001076,               0.001076,               0.001076
                     17,                0.86452,                0.48324,                0.90895,                0.92192,                 0.8767,                0.94694,                 0.7202,                0.80603,                0.49219,                0.94798,                0.00101,                0.00101,                0.00101
                     18,                0.87055,                0.46977,                0.91479,                0.93288,                0.87138,                0.94399,                0.73139,                0.79532,                 0.4778,                0.94547,               0.000944,               0.000944,               0.000944
                     19,                0.82691,                 0.4626,                0.91423,                0.91365,                0.89133,                0.95058,                0.73397,                0.77935,                0.46854,                0.94005,               0.000878,               0.000878,               0.000878
                     20,                0.81225,                0.45818,                0.90014,                0.90845,                0.87043,                0.93394,                0.72276,                0.78996,                0.48367,                0.94118,               0.000812,               0.000812,               0.000812
                     21,                0.80554,                  0.446,                0.89552,                0.90327,                0.88799,                0.94461,                 0.7411,                 0.7719,                0.45026,                 0.9352,               0.000746,               0.000746,               0.000746
                     22,                0.81933,                 0.4575,                0.90165,                0.91481,                0.89028,                0.95288,                 0.7373,                0.79484,                0.45729,                0.93919,                0.00068,                0.00068,                0.00068
                     23,                0.80368,                0.44067,                0.88905,                0.90484,                0.88427,                0.95571,                0.74315,                0.77686,                0.45223,                0.93142,               0.000614,               0.000614,               0.000614
                     24,                0.78156,                0.43153,                0.88818,                0.90653,                0.89184,                0.95734,                0.74268,                0.79509,                0.44477,                0.93685,               0.000548,               0.000548,               0.000548
                     25,                0.78599,                0.42625,                0.89098,                0.90828,                0.88924,                0.95513,                0.74991,                0.77791,                0.43578,                0.93607,               0.000482,               0.000482,               0.000482
                     26,                0.77271,                0.41543,                0.91314,                0.90321,                0.90684,                0.95596,                0.76346,                0.75564,                 0.4185,                0.93174,               0.000416,               0.000416,               0.000416
                     27,                0.77371,                0.40803,                0.90999,                 0.8865,                0.92372,                0.95706,                0.75677,                0.76978,                0.42332,                0.93806,                0.00035,                0.00035,                0.00035
                     28,                0.76554,                0.39811,                0.89581,                 0.9079,                0.91536,                0.95924,                0.76023,                0.75412,                0.41603,                0.93199,               0.000284,               0.000284,               0.000284
                     29,                 0.7463,                0.38893,                0.89479,                0.91321,                0.91327,                0.95787,                0.76187,                0.75479,                0.41175,                 0.9336,               0.000218,               0.000218,               0.000218
                     30,                0.72685,                0.37649,                0.88844,                0.92414,                0.91536,                0.95971,                0.76639,                0.73907,                0.40095,                 0.9282,               0.000152,               0.000152,               0.000152
